id,time,Euler1,Euler2,Euler2,Quat1,Quat2,Quat3,Quat4,Gyro1,Gyro1,Gyro1
79,15:42:39,93.1875, 13.5, -105.562,0.529419, -0.576782, -0.545837, 0.298462,0.0433333, -0.0577778, -0.0288889
80,15:43:39,95.625, 17.5, -103.875,0.566406, -0.581177, -0.526184, 0.253967,0.0277778, 0.0244444, 0.117778
81,15:44:39,96.0, 19.5625, -95.0625,0.626465, -0.546814, -0.492371, 0.257019,0.0366667, -0.0177778, 0.00666667
82,15:45:39,103.437, 14.4375, -93.875,0.626099, -0.572937, -0.451843, 0.275024,0.0677778, 0.0955555, -0.0511111
83,15:46:39,102.188, 17.5, -91.125,0.652039, -0.55603, -0.447815, 0.255249,0.0188889, 0.0, 0.158889
84,15:47:39,112.75, 15.8125, -88.5625,0.681274, -0.582092, -0.386719, 0.217896,-0.0722222, -0.0577778, 0.0333333
85,15:48:39,115.812, 16.25, -84.4375,0.711121, -0.571106, -0.357788, 0.200256,-0.0633333, -0.0111111, 0.0
86,15:49:39,120.75, 15.4375, -85.625,0.710388, -0.591919, -0.336426, 0.178345,-0.0166667, 0.00222222, 0.04
87,15:50:39,123.312, 14.8125, -82.0,0.732727, -0.578979, -0.312439, 0.173889,0.09, -0.0555556, 0.0133333
88,15:51:39,117.25, 19.875, -78.875,0.754089, -0.546387, -0.332886, 0.148254,0.00555556, -0.00666667, -0.143333
89,15:52:39,117.937, 21.25, -80.4375,0.749451, -0.557251, -0.3349, 0.125,0.0522222, -0.0377778, -0.06
90,15:53:39,113.25, 28.125, -75.75,0.777344, -0.523132, -0.344055, 0.06073,-0.0255556, -0.0577778, 0.132222
91,15:54:39,115.25, 28.5625, -71.8125,0.79718, -0.509155, -0.322632, 0.0352173,0.00333333, 0.0311111, -0.00888889
92,15:55:39,120.438, 24.875, -71.75,0.799377, -0.519592, -0.297119, 0.0521851,-0.0433333, -0.0222222, -0.06
93,15:56:39,124.875, 24.625, -66.625,0.824463, -0.501526, -0.261719, 0.0147095,0.0322222, 0.0311111, 0.0422222
94,15:57:39,126.437, 25.25, -68.4375,0.815979, -0.516235, -0.260071, -0.00274658,-0.0833333, 0.0911111, -0.0155556
95,15:58:39,127.812, 27.25, -63.5,0.833618, -0.49353, -0.241577, -0.0559692,-0.0366667, -0.0933333, -0.0888889
96,15:59:39,128.875, 27.9375, -67.0,0.817505, -0.516479, -0.246887, -0.0631104,-0.0344444, -0.0422222, -0.0288889
97,16:00:39,122.0, 32.375, -61.375,0.831909, -0.477356, -0.264465, -0.100647,0.03, 0.0222222, -0.0155556
98,16:01:39,125.687, 30.6875, -59.875,0.839111, -0.474304, -0.243835, -0.107239,0.0744444, -0.0888889, -0.0244444
99,16:02:39,20.3125, 31.375, -54.5,0.85083, -0.449158, -0.22583, -0.152588,-0.0388889, -0.0644444, 0.0311111
100,16:03:39,18.1875, 29.75, -51.3125,0.867188, -0.425964, -0.217468, -0.138611,-0.0188889, 0.08, 0.19
101,16:04:39,19.125, 28.5625, -44.1875,0.890076, -0.378418, -0.205017, -0.150269,0.0544444, -0.0644444, 0.0311111
102,16:05:39,22.0625, 30.375, -39.5,0.895447, -0.348511, -0.214539, -0.174988,-0.0788889, -0.00444444, -0.0311111
103,16:06:39,23.75, 28.8125, -33.0,0.911316, -0.304077, -0.200378, -0.192078,0.0122222, 0.1, 0.0311111
104,16:07:39,23.0625, 27.5, -33.8125,0.913025, -0.30896, -0.190002, -0.186584,0.0611111, -0.00888889, -0.00666667
105,16:08:39,29.0625, 27.3125, -24.375,0.920471, -0.247192, -0.185486, -0.239258,0.0411111, -0.0422222, -0.102222
106,16:09:39,30.0, 21.875, -23.0625,0.92981, -0.232849, -0.138123, -0.249207,-0.0255556, -0.0333333, 0.0377778
107,16:10:39,33.1875, 20.0625, -19.75,0.929993, -0.207153, -0.122742, -0.277832,0.0922222, 0.0622222, -0.0488889
108,16:11:39,33.25, 17.125, -17.5625,0.936523, -0.184753, -0.102051, -0.279968,0.0522222, -0.00444444, 0.0555556
109,16:12:39,38.1875, 15.5, -14.0625,0.929382, -0.157349, -0.0890503, -0.321899,-0.0144444, 0.0844444, -0.0155556
110,16:13:39,44.1875, 13.5, -8.375,0.917786, -0.110657, -0.0829468, -0.372192,0.0677778, -0.0511111, 0.0644444
111,16:14:39,42.9375, 8.25, -2.25,0.92804, -0.0448608, -0.0596924, -0.36499,-0.0122222, -0.0155556, 0.0622222
112,16:15:39,43.8125, 5.9375, 0.0,0.926575, -0.0202026, -0.0480957, -0.372437,0.00777778, -0.06, 0.0533333
113,16:16:39,45.5625, 0.9375, 1.375,0.921814, 0.00762939, -0.0126343, -0.387329,-0.0455555, -0.0377778, 0.0377778
114,16:17:39,48.0, -6.1875, 1.25,0.911926, 0.0324097, 0.0447998, -0.406616,0.0744444, -0.108889, -0.0222222
115,16:18:39,50.6875, -12.0625, 2.6875,0.898376, 0.0661011, 0.0853882, -0.425781,-0.0811111, -0.0488889, 0.0511111
116,16:19:39,50.5625, -14.8125, 4.5,0.895935, 0.0899658, 0.100403, -0.423157,-0.0611111, 0.0, 0.0
117,16:20:39,56.3125, -19.1875, 7.0625,0.867493, 0.130981, 0.119324, -0.464783,-0.00333333, 0.0666667, -0.0311111
118,16:21:39,50.125, -16.75, 9.0625,0.893311, 0.13147, 0.0999756, -0.417969,0.0388889, 0.0422222, 0.0933333
119,16:22:39,50.875, -23.125, 9.9375,0.881287, 0.160339, 0.146973, -0.419617,-0.0611111, 0.0511111, 0.0533333
120,16:23:39,58.0625, -28.8125, 14.8125,0.840271, 0.223572, 0.163086, -0.466248,-0.124444, 0.02, 0.0422222
121,16:24:39,59.1875, -28.0625, 13.5,0.837769, 0.213989, 0.159729, -0.476318,0.0522222, 0.0422222, -0.08
122,16:25:39,63.0, -32.625, 10.6875,0.81488, 0.217529, 0.197754, -0.499573,-0.0344444, -0.0155556, -0.02
123,16:26:39,60.0625, -34.3125, 13.0,0.822266, 0.233337, 0.20813, -0.475525,-0.0344444, 0.0288889, 0.0311111
124,16:27:39,57.5, -32.4375, 17.1875,0.832825, 0.251221, 0.184387, -0.457458,-0.09, 0.0555556, 0.0333333
125,16:28:39,51.0, -31.1875, 21.0,0.855713, 0.263794, 0.177246, -0.408447,-0.0655555, 0.0, 0.0222222
126,16:29:39,53.4375, -33.4375, 22.4375,0.840332, 0.282959, 0.185364, -0.423523,0.03, 0.0666667, 0.0288889
127,16:30:39,53.625, -33.5, 26.75,0.833313, 0.312805, 0.173096, -0.421631,0.0388889, -0.0533333, -0.02
128,16:31:40,60.75, -39.9375, 25.375,0.793762, 0.330688, 0.210876, -0.464844,-0.0233333, 0.0133333, 0.12
129,16:32:40,335.0, -45.0, 29.3125,0.758057, 0.373779, 0.228271, -0.483215,0.0233333, 0.0133333, -0.122222
130,16:33:39,62.0, -43.0, 38.0,0.761169, 0.415039, 0.198669, -0.457092,-0.03, 0.111111, 0.0422222
131,16:34:39,336.5, -48.4375, 43.75,0.719116, 0.461487, 0.217651, -0.471741,-0.05, 0.0, -0.0377778
132,16:35:39,330.687, -49.75, 43.875,0.738403, 0.451233, 0.253235, -0.432495,-0.0211111, 0.127778, -0.0555556
133,16:36:39,335.187, -54.25, 48.25,0.701965, 0.482666, 0.269714, -0.448914,0.0388889, -0.0222222, -0.0688889
134,16:37:40,331.562, -54.4375, 55.6875,0.699585, 0.509155, 0.278137, -0.417053,0.0855556, -0.0311111, 0.0111111
135,16:38:39,340.375, -60.8125, 55.5,0.652588, 0.520569, 0.302002, -0.460327,-0.07, -0.0555556, 0.132222
136,16:39:40,339.188, -62.5625, 69.25,0.627502, 0.563049, 0.318848, -0.433105,0.0388889, -0.00666667, -0.0866666
137,16:40:40,330.937, -54.0625, 78.625,0.643555, 0.606689, 0.272095, -0.37915,-0.05, 0.00444444, -0.0822222
138,16:41:40,328.562, -51.5, 86.75,0.627441, 0.642761, 0.263123, -0.35199,0.0144444, 0.0, -0.0955555
139,16:42:40,327.187, -49.75, 92.875,0.610352, 0.670044, 0.26001, -0.33313,-0.0388889, -0.143333, 0.0333333
140,16:43:40,325.437, -51.9375, 93.0,0.615601, 0.654846, 0.295715, -0.323669,-0.0855556, -0.0555556, 0.132222
141,16:44:40,336.063, -58.6875, 93.0,0.584412, 0.64563, 0.311401, -0.380432,-0.0722222, 0.0222222, -0.0733333
142,16:45:40,337.437, -61.125, 100.5,0.561584, 0.652161, 0.344116, -0.375305,-0.0366667, -0.0511111, 0.104444
143,16:46:40,340.0, -63.5625, 101.812,0.551514, 0.646057, 0.358704, -0.386963,0.121111, 0.0555556, 0.00444444
144,16:47:40,343.812, -64.375, 102.937,0.537231, 0.65332, 0.348816, -0.403564,0.0766667, 0.00444444, 0.02
145,16:48:40,338.125, -63.9375, 99.25,0.564575, 0.632324, 0.368042, -0.382019,0.0255556, -0.00222222, -0.12
146,16:49:40,343.125, -65.875, 101.25,0.544861, 0.638367, 0.363953, -0.403931,0.0233333, -0.0133333, 0.174444
147,16:50:40,346.0, -63.3125, 118.0,0.494751, 0.686707, 0.365906, -0.386963,0.0277778, -0.0222222, 0.0711111
148,16:51:40,348.5, -63.3125, 124.563,0.472656, 0.697327, 0.375305, -0.386597,0.0166667, 0.0244444, 0.0844444
149,16:52:40,356.375, -64.5, 136.125,0.42804, 0.71106, 0.386658, -0.402039,-0.112222, -0.02, 0.13
150,16:53:40,5.625, -64.125, 150.063,0.374573, 0.728516, 0.397644, -0.41333,-0.0744444, -0.0488889, 0.102222
151,16:54:40,10.375, -59.9375, 158.062,0.331238, 0.758118, 0.397095, -0.397339,-0.07, 0.0866666, -0.0466667
152,16:55:40,10.3125, -61.5625, 162.312,0.335022, 0.734253, 0.432739, -0.401672,-0.07, -0.0222222, -0.0155556
153,16:56:40,13.1875, -56.125, 166.125,0.297363, 0.765869, 0.429016, -0.375488,-0.0833333, -0.0466667, 0.0333333
154,16:57:40,23.4375, -51.3125, 174.187,0.239319, 0.790161, 0.431519, -0.363586,-0.126667, -0.0666667, 0.0577778
155,16:58:40,37.5625, -47.75, -175.563,0.179504, 0.789612, 0.459839, -0.364441,0.0122222, 0.125556, 0.0177778
156,16:59:40,31.0625, -46.8125, 179.187,0.195129, 0.804382, 0.441284, -0.346558,0.0566667, 0.00666667, -0.12
157,17:00:40,122.125, -44.0625, 176.937,0.199524, 0.811035, 0.448059, -0.318787,0.00111111, 0.0711111, 0.0933333
158,17:01:40,121.75, -35.5, -177.25,0.130493, 0.831909, 0.463135, -0.276489,-0.0144444, -0.0888889, -0.0377778
159,17:02:40,124.687, -31.25, -176.375,0.100281, 0.852783, 0.446289, -0.252014,0.0477778, -0.111111, 0.00666667
160,17:03:40,124.5, -29.0, -171.187,0.0563354, 0.85437, 0.449219, -0.255066,-0.0455555, -0.127778, 0.08
161,17:04:40,129.75, -26.8125, -173.812,0.0540161, 0.879578, 0.412048, -0.231628,-0.0233333, -0.0422222, 0.00444444
162,17:05:40,128.688, -23.375, -169.562,0.0115967, 0.879456, 0.421936, -0.220093,-0.0744444, -0.167778, 0.0422222
163,17:06:40,122.562, -18.625, -169.313,0.000183105, 0.861816, 0.471924, -0.185791,-0.0344444, -0.0466667, -0.0488889
