id;time;Euler1;Euler2;Euler3;SysCal;GyroCal;AccCal;MagCal;Max;;;
171;21.16.43;148;-0,38;-3,19;3;3;3;3;;;;
172;21.17.43;148;-0,38;-3,19;3;3;3;3;;;;
173;21.18.43;148;-0,38;-3,19;3;3;3;3;;;;
174;21.19.43;148;-0,38;-3,19;3;3;3;3;;;;
175;21.20.43;148;-0,38;-3,19;3;3;3;3;;;;
176;21.21.43;148;-0,38;-3,19;3;3;3;3;;;;
177;21.22.43;148;-0,38;-3,19;3;3;3;3;;;;
178;21.23.43;148;-0,38;-3,19;3;3;3;3;;;;
179;21.24.43;148;-0,38;-3,19;3;3;3;3;;;;
180;21.25.43;148;-0,38;-3,19;3;3;3;3;;;;
181;21.26.43;148;-0,38;-3,19;3;3;3;3;;;;
182;21.27.43;148;-0,38;-3,19;3;3;3;3;;;;
183;21.28.43;148;-0,38;-3,19;3;3;3;3;;;;
184;21.29.43;148;-0,38;-3,19;3;3;3;3;;;;
185;21.30.43;148;-0,38;-3,19;3;3;3;3;;;;
186;21.31.43;148;-0,38;-3,19;3;3;3;3;;;;
187;21.32.43;148;-0,38;-3,19;3;3;3;3;;;;
188;21.33.43;148;-0,38;-3,19;3;3;3;3;;;;
189;21.34.43;148;-0,38;-3,19;3;3;3;3;;;;
190;21.35.43;148;-0,38;-3,19;3;3;3;3;;;;
191;21.36.43;148;-0,38;-3,19;3;3;3;3;;;;
192;21.37.43;148;-0,38;-3,19;3;3;3;3;;;;
193;21.38.43;148;-0,38;-3,19;3;3;3;3;;;;
194;21.39.43;148;-0,38;-3,19;3;3;3;3;;;;
195;21.40.43;148;-0,38;-3,19;3;3;3;3;;;;
196;21.41.43;148;-0,38;-3,19;3;3;3;3;;;;
197;21.42.43;148;-0,38;-3,19;3;3;3;3;;;;
198;21.43.43;148;-0,38;-3,19;3;3;3;3;;;;
199;21.44.43;148;-0,38;-3,19;3;3;3;3;;;;
200;21.45.43;148;-0,38;-3,19;3;3;3;3;;;;
201;21.46.43;148;-0,38;-3,19;3;3;3;3;;;;
202;21.47.43;148;-0,38;-3,19;3;3;3;3;;;;
203;21.48.43;148;-0,38;-3,19;3;3;3;3;;;;
204;21.49.43;148;-0,38;-3,19;3;3;3;3;;;;
205;21.50.43;148;-0,38;-3,19;3;3;3;3;;;;
206;21.51.43;148;-0,38;-3,19;3;3;3;3;;;;
207;21.52.43;148;-0,38;-3,19;3;3;3;3;;;;
208;21.53.43;148;-0,38;-3,19;3;3;3;3;;;;
209;21.54.43;148;-0,38;-3,19;3;3;3;3;;;;
210;21.55.43;148;-0,38;-3,19;3;3;3;3;;;;
211;21.56.43;148;-0,38;-3,19;3;3;3;3;;;;
212;21.57.43;148;-0,38;-3,19;3;3;3;3;;;;
213;21.58.43;148;-0,38;-3,19;3;3;3;3;;;;
214;21.59.43;148;-0,38;-3,19;3;3;3;3;;;;
215;22.00.43;148;-0,38;-3,19;3;3;3;3;;;;
216;22.01.43;148;-0,38;-3,19;3;3;3;3;;;;
217;22.02.43;148;-0,38;-3,19;3;3;3;3;;;;
218;22.03.43;148;-0,38;-3,19;3;3;3;3;;;;
219;22.04.43;148;-0,38;-3,19;3;3;3;3;;;;
220;22.05.43;148,75;-0,38;-3,19;3;3;3;3;;;;
221;22.06.43;148,75;-0,38;-3,19;3;3;3;3;;;;
222;22.07.43;148,75;-0,38;-3,19;3;3;3;3;;;;
223;22.08.43;148,75;-0,38;-3,19;3;3;3;3;;;;
224;22.09.43;148,75;-0,38;-3,19;3;3;3;3;;;;
225;22.10.43;148,75;-0,38;-3,19;3;3;3;3;;;;
226;22.11.43;148,75;-0,38;-3,19;3;3;3;3;;;;
227;22.12.43;148,75;-0,38;-3,19;3;3;3;3;;;;
228;22.13.43;148,75;-0,38;-3,19;3;3;3;3;;;;
229;22.14.43;148,75;-0,38;-3,19;3;3;3;3;;;;
230;22.15.43;148,75;-0,38;-3,19;3;3;3;3;;;;
231;22.16.43;148,75;-0,38;-3,19;3;3;3;3;;;;
232;22.17.43;148,75;-0,38;-3,19;3;3;3;3;;;;
233;22.18.43;148,75;-0,38;-3,19;3;3;3;3;;;;
234;22.19.43;148,75;-0,38;-3,19;3;3;3;3;;;;
235;22.20.43;148,75;-0,38;-3,19;3;3;3;3;;;;
236;22.21.43;148,75;-0,38;-3,19;3;3;3;3;;;;
237;22.22.43;148,75;-0,38;-3,19;3;3;3;3;;;;
238;22.23.43;148,75;-0,38;-3,19;3;3;3;3;;;;
239;22.24.43;148,75;-0,38;-3,19;3;3;3;3;;;;
240;22.25.43;148,75;-0,38;-3,19;3;3;3;3;;;;
241;22.26.43;148,75;-0,38;-3,19;3;3;3;3;;;;
242;22.27.43;148,75;-0,38;-3,19;3;3;3;3;;;;
243;22.28.43;148,75;-0,38;-3,19;3;3;3;3;;;;
244;22.29.43;148,75;-0,38;-3,19;3;3;3;3;;;;
245;22.30.43;148,75;-0,38;-3,19;3;3;3;3;;;;
246;22.31.43;148,75;-0,38;-3,19;3;3;3;3;;;;
247;22.32.43;148,75;-0,38;-3,19;3;3;3;3;;;;
248;22.33.43;148,75;-0,38;-3,19;3;3;3;3;;;;
249;22.34.43;148,75;-0,38;-3,19;3;3;3;3;;;;
250;22.35.43;148,75;-0,38;-3,19;3;3;3;3;;;;
251;22.36.43;148,75;-0,38;-3,19;3;3;3;3;;;;
252;22.37.43;148,75;-0,38;-3,19;3;3;3;3;;;;
253;22.38.43;148,75;-0,38;-3,19;3;3;3;3;;;;
254;22.39.43;148,75;-0,38;-3,19;3;3;3;3;;;;
255;22.40.43;148,75;-0,38;-3,19;3;3;3;3;;;;
256;22.41.43;148,75;-0,38;-3,19;3;3;3;3;;;;
257;22.42.43;148,75;-0,38;-3,19;3;3;3;3;;;;
258;22.43.43;148,75;-0,38;-3,19;3;3;3;3;;;;
259;22.44.43;148,75;-0,38;-3,19;3;3;3;3;;;;
260;22.45.43;148,75;-0,38;-3,19;3;3;3;3;;;;
261;22.46.43;148,75;-0,38;-3,19;3;3;3;3;;;;
262;22.47.43;148,75;-0,38;-3,19;3;3;3;3;;;;
263;22.48.43;148,75;-0,38;-3,19;3;3;3;3;;;;
264;22.49.43;148,75;-0,38;-3,25;3;3;3;3;;;;
265;22.50.43;148,75;-0,38;-3,25;3;3;3;3;;;;
